transaction_id,timestamp,amount,currency,sender_account,receiver_account,sender_country,sender_municipality,receiver_country,receiver_municipality,transaction_type,notes
62cacc89-95ca-41c0-a06f-d12950c85a37,2025-01-08 03:17:00,1174.47,SEK,SE8902ZCTK81497780781136,SE8902GGWE97497502378359,Sweden,Södertälje,Sweden,Stockholm,outgoing,Tax refund
d1ae6818-9d0f-4e14-bc56-0165e8123ff0,2025-01-02 19:34:00,19068.02,SEK,SE8902DGXX88147139459340,SE8902PLBL16144667744762,Sweden,Uddevalla,Sweden,Karlskoga,incoming,Salary payment
aa707bbc-7171-4a8f-bdd1-5a18943708d5,2025-01-12 20:08:00,7557.86,SEK,SE8902VMWP60739361675669,SE8902JTIU30473679174736,Sweden,Gävle,Sweden,Nyköping,outgoing,Subscription fee
40adfe97-ed7c-483e-bd50-cdec4726fc80,2025-02-08 06:24:00,14108.32,SEK,SE8902GHSB29020078073922,SE8902MQTA07583386361028,Sweden,Trelleborg,Sweden,Gävle,outgoing,Payment for invoice #1934
b078f054-3ce8-4d2a-9173-6e0c94a9bbff,2025-03-01 18:51:00,33570.37,SEK,SE8902NHEC01255630352421,SE8902HQID54921038055598,Sweden,Borlänge,Sweden,Landskrona,outgoing,
92755c2b-332c-4f8d-960d-82f0399b4ea4,2025-02-03 09:56:00,5271.49,SEK,SE8902PVNM34258841032637,SE8902OFTJ79383582820961,Sweden,Borlänge,Sweden,Lidingö,incoming,Rent transfer
05488bf0-038a-4c00-9f6b-487b4ed5be7d,2025-03-21 09:05:00,46955.68,SEK,SE8902XCIR72675281902466,SE8902HXLB10149156679316,Sweden,Karlskoga,Sweden,Västerås,incoming,
93f223c7-82e4-458b-9f78-e2ffa6d9a5f6,2025-02-04 14:14:00,24454.37,SEK,SE8902TJBO76009734317061,SE8902SAUK38756106548184,Sweden,Mölndal,Sweden,Gävle,outgoing,Gift to family member
881fa3e9-fc0e-459a-bd44-f23d44073198,2025-01-15 08:00:00,22257.9,SEK,SE8902TVFH53282057943154,SE8902UJGR36411837401781,Sweden,Gävle,Sweden,Stockholm,incoming,
346ca367-a076-43f2-96ef-c085d131efc3,2025-04-26 23:49:00,30293.87,SEK,SE8902RIDV47368265699473,SE8902UGUU35326815762231,Sweden,Västerås,Sweden,Uddevalla,incoming,Reimbursement for travel
bd464ee2-c261-4990-aa85-57c8684569d3,2025-01-01 22:36:00,44200.6,SEK,SE8902IDSK51225196610969,SE8902MRZJ54641003814611,Sweden,Örnsköldsvik,Sweden,Trollhättan,incoming,
0308a664-8b78-40bd-9281-8623b3d2584a,2025-03-08 00:00:00,10977.56,SEK,SE8902MPBO87772633723937,SE8902ZJVA11817265425330,,Uddevalla,Sweden,Skövde,outgoing,Rent transfer
da61c788-f682-414d-983c-e03d8eb671ea,2025-03-01 19:36:00,37233.58,SEK,SE8902RWKL37240797745939,SE8902LUGA16653984392162,Sweden,Södertälje,Sweden,Nyköping,incoming,
5dee710d-5d06-46f1-a449-49e7b70dd328,2025-01-24 23:20:00,3291.49,SEK,SE8902YERF08265652105112,SE8902YWPH88733310983578,Sweden,Alingsås,Sweden,Gävle,incoming,Insurance payout
ccc76011-9857-40a8-b951-b8c90144449a,2025-04-09 05:56:00,31999.11,SEK,SE8902EHQT53687871208531,SE8902GORN68994003453353,Sweden,Kalmar,Sweden,Nyköping,outgoing,Reimbursement for travel
ee1dd47e-a2be-48bc-b093-5de1b7b0ef52,2025-02-02 10:18:00,32100.33,SEK,SE8902CRKA97370313824795,SE8902IDSK51225196610969,Sweden,Stockholm,Sweden,Uppsala,outgoing,Subscription fee
e0827340-f916-4f38-b268-ed6570416886,2025-02-26 04:23:00,15452.26,SEK,SE8902BUUB70684057188314,SE8902GHSB29020078073922,Sweden,Uddevalla,Sweden,Göteborg,outgoing,Loan repayment
4fab6c87-e40f-4e77-8dc2-43aa086c946c,2025-03-20 01:11:00,23696.98,SEK,SE8902JTIU30473679174736,SE8902MPWG51569045484865,Sweden,Helsingborg,Sweden,Norrköping,incoming,Tax refund
0022aede-9c8d-4793-ba4d-8aaba58a3b34,2025-02-07 14:56:00,26012.19,SEK,SE8902KCJU30225323097413,SE8902JPEZ29549435970218,Sweden,Karlstad,Sweden,Trelleborg,incoming,Online purchase
a31bd748-7a14-418f-b27d-2267f0b77fd1,2025-04-10 20:28:00,10949.49,SEK,SE8902TEZZ10595111121627,SE8902ZPXA01787857989303,Sweden,Eskilstuna,Sweden,Skövde,incoming,Freelance project payment
17b1ff88-5e1c-45f1-8681-761e101c5338,2025-03-05 02:23:00,24531.31,SEK,SE8902EYGF77551822415743,SE8902ZRRV53604198996393,Sweden,Västerås,Sweden,Lidingö,outgoing,Subscription fee
b03d9083-7f36-45c1-9f78-44477f8be091,2025-05-15 03:22:00,10503.73,SEK,SE8902HLML76292022524770,SE8902NIFB25528008124700,Sweden,Örebro,Sweden,Motala,outgoing,Tax refund
92ece6da-f627-46f5-8e58-150c9f9396be,2025-02-11 17:37:00,11419.63,SEK,SE8902QPGW46075376024266,SE8902BRZE40142159892187,Sweden,Nyköping,Sweden,Stockholm,incoming,Salary payment
